
LSOA Code,time,crime_property,crime_people,crime_crowd
E01000001,Nov-20,7,1,2
E01000001,Dec-20,0,0,5
E01000001,Jan-21,3,0,2
E01000001,Feb-21,0,0,2
E01000001,Mar-21,2,1,2
E01000001,Apr-21,4,1,7
E01000001,May-21,6,0,7
E01000001,Jun-21,4,2,6
E01000001,Jul-21,6,2,1
E01000001,Aug-21,6,0,2
E01000001,Sep-21,11,0,8
E01000001,Oct-21,5,2,6
E01000001,Nov-21,5,1,2
E01000002,Nov-20,11,1,11
E01000002,Dec-20,3,4,9
E01000002,Jan-21,3,1,16
E01000002,Feb-21,4,1,12
E01000002,Mar-21,4,1,6
E01000002,Apr-21,3,3,7
E01000002,May-21,10,1,10
E01000002,Jun-21,7,2,3
E01000002,Jul-21,10,1,12
E01000002,Aug-21,9,0,7
E01000002,Sep-21,2,3,8
E01000002,Oct-21,4,2,11
E01000002,Nov-21,22,7,2
E01000003,Nov-20,1,1,5
E01000003,Dec-20,0,1,4
E01000003,Jan-21,0,0,10
E01000003,Feb-21,0,0,8
E01000003,Mar-21,0,0,3
E01000003,Apr-21,0,0,9
E01000003,May-21,1,0,3
E01000003,Jun-21,0,1,8
E01000003,Jul-21,1,1,5
E01000003,Aug-21,0,0,3
E01000003,Sep-21,1,2,3
E01000003,Oct-21,1,2,3
E01000003,Nov-21,0,0,2
E01000005,Nov-20,14,6,14
E01000005,Dec-20,12,7,15
E01000005,Jan-21,5,4,5
E01000005,Feb-21,6,3,6
E01000005,Mar-21,4,5,16
E01000005,Apr-21,5,2,11
E01000005,May-21,11,4,15
E01000005,Jun-21,13,17,18
E01000005,Jul-21,8,8,27
E01000005,Aug-21,12,7,14
E01000005,Sep-21,18,13,26
E01000005,Oct-21,16,10,13
E01000005,Nov-21,18,11,20
